id,config_name,config_tag,config_value,OLD config_value (apr)
178,monthly-week1,mails,"2,5,6,9,12,13,16,19,20,23,26,27,30","8,14,18, 21,22,25,28,29"
179,bonus-mail,mails,28,30
180,monthly-week2,mails,,
181,monthly-week3-wednesday,mails,,
182,monthly-week3,mails,,
183,no-deposit-weekly,mails,"6,13,20,27","1,8,15,22,29"
188,no-deposit-weekly-2,mails,,
208,inactive-cash-balance,mails,25,27
256,monthly-week2-betsoft,mails,,
259,monthly-week2-microgaming,mails,,
262,monthly-week2-playngo,mails,,
265,monthly-week2-wms,mails,,
268,monthly-week2-ygg,mails,,
272,monthly-week2-quickspin,mails,,
366,no-deposit-freeroll,mails,,
367,deposit-freeroll,mails,18,20
411,nodeposit-newbonusoffers-mail-1,mails,15,12
412,nodeposit-newbonusoffers-mail-2,mails,"1,31","3,19"
413,nodeposit-newbonusoffers-mail-3,mails,22,5
414,nodeposit-newbonusoffers-mail-4,mails,"8,20","10,26"
415,nodeposit-newbonusoffers-mail-5,mails,"6,29",24
416,nodeposit-newbonusoffers-mail-6,mails,13,"1,17"
417,nodeposit-newbonusoffers-mail-7,mails,"3,27",8
418,nodeposit-newbonusoffers-mail-8,mails,,
419,nodeposit-newbonusoffers-mail-9,mails,,
420,nodeposit-newbonusoffers-mail-10,mails,10,15
421,nodeposit-newbonusoffers-mail-11,mails,,
422,nodeposit-newbonusoffers-mail-12,mails,,
423,nodeposit-newbonusoffers-mail-13,mails,17,22
424,nodeposit-newbonusoffers-mail-14,mails,24,29
425,nodeposit-newbonusoffers-mail-15,mails,,
889,sms-monthly-week2,mails,,
890,deposit-newbonusoffers-mail-1,mails,,
891,deposit-newbonusoffers-mail-2,mails,2,18
892,deposit-newbonusoffers-mail-3,mails,,4
893,deposit-newbonusoffers-mail-4,mails,9,
894,deposit-newbonusoffers-mail-5,mails,,
895,deposit-newbonusoffers-mail-6,mails,16,
896,deposit-newbonusoffers-mail-7,mails,,25
897,deposit-newbonusoffers-mail-8,mails,,
898,deposit-newbonusoffers-mail-9,mails,,
899,deposit-newbonusoffers-mail-10,mails,23,
917,deposit-newbonusoffers-mail-11,mails,,
918,deposit-newbonusoffers-mail-12,mails,,
919,deposit-newbonusoffers-mail-13,mails,,
920,deposit-newbonusoffers-mail-14,mails,30,11
921,deposit-newbonusoffers-mail-15,mails,,
1202,welcome.mrvegas,mails,"7,14,21,28","2,9,16,23,30"
93375,29daydeposit-newbonusoffers-mail-1,mails,,
93376,29daydeposit-newbonusoffers-mail-2,mails,,
93377,29daydeposit-newbonusoffers-mail-3,mails,1,
93378,29daydeposit-newbonusoffers-mail-4,mails,,17
93379,29daydeposit-newbonusoffers-mail-5,mails,,
93380,29daydeposit-newbonusoffers-mail-6,mails,,
93381,29daydeposit-newbonusoffers-mail-7,mails,,
93382,29daydeposit-newbonusoffers-mail-8,mails,29,
93383,29daydeposit-newbonusoffers-mail-9,mails,,
93384,29daydeposit-newbonusoffers-mail-10,mails,,
93385,29daydeposit-newbonusoffers-mail-11,mails,,
93386,29daydeposit-newbonusoffers-mail-12,mails,15,
93387,29daydeposit-newbonusoffers-mail-13,mails,,3
93388,29daydeposit-newbonusoffers-mail-14,mails,,
93389,29daydeposit-newbonusoffers-mail-15,mails,,
