id,config_name,config_tag,config_value,OLD config_value (apr)
178,monthly-week1,mails,"1,5,6,8,12,13,15,19,20,22,23,26,27,29,30","8,14,17,18,21,22,24,25,28,29"
179,bonus-mail,mails,28,30
180,monthly-week2,mails,,
181,monthly-week3-wednesday,mails,,
182,monthly-week3,mails,,
183,no-deposit-weekly,mails,"1,8,15,22,29","3,10,17,24"
188,no-deposit-weekly-2,mails,,
208,inactive-cash-balance,mails,25,27
256,monthly-week2-betsoft,mails,,
259,monthly-week2-microgaming,mails,,
262,monthly-week2-playngo,mails,,
265,monthly-week2-wms,mails,,
268,monthly-week2-ygg,mails,,
272,monthly-week2-quickspin,mails,,
366,no-deposit-freeroll,mails,,
367,deposit-freeroll,mails,11,13
411,nodeposit-newbonusoffers-mail-1,mails,"2,21",7
412,nodeposit-newbonusoffers-mail-2,mails,9,14
413,nodeposit-newbonusoffers-mail-3,mails,16,21
414,nodeposit-newbonusoffers-mail-4,mails,23,28
415,nodeposit-newbonusoffers-mail-5,mails,"14,30","2,11"
416,nodeposit-newbonusoffers-mail-6,mails,26,9
417,nodeposit-newbonusoffers-mail-7,mails,7,16
418,nodeposit-newbonusoffers-mail-8,mails,,
419,nodeposit-newbonusoffers-mail-9,mails,,
420,nodeposit-newbonusoffers-mail-10,mails,19,23
421,nodeposit-newbonusoffers-mail-11,mails,,
422,nodeposit-newbonusoffers-mail-12,mails,,
423,nodeposit-newbonusoffers-mail-13,mails,"12,28","18,30"
424,nodeposit-newbonusoffers-mail-14,mails,5,"4,25"
425,nodeposit-newbonusoffers-mail-15,mails,,
889,deposit-newbonusoffers-mail-1,mails,,
890,deposit-newbonusoffers-mail-2,mails,,
891,deposit-newbonusoffers-mail-3,mails,22,17
892,deposit-newbonusoffers-mail-4,mails,,
893,deposit-newbonusoffers-mail-5,mails,1,10
894,deposit-newbonusoffers-mail-6,mails,,
895,deposit-newbonusoffers-mail-7,mails,15,24
896,deposit-newbonusoffers-mail-8,mails,,
897,deposit-newbonusoffers-mail-9,mails,,
898,deposit-newbonusoffers-mail-10,mails,,3
899,deposit-newbonusoffers-mail-11,mails,,
900,deposit-newbonusoffers-mail-12,mails,,
901,deposit-newbonusoffers-mail-13,mails,8,
902,deposit-newbonusoffers-mail-14,mails,29,
903,deposit-newbonusoffers-mail-15,mails,,
920,"welcome,mrvegas",mails,"7,14,21,28","2,9,16,23,30"
80858,29daydeposit-newbonusoffers-mail-1,mails,,
80859,29daydeposit-newbonusoffers-mail-2,mails,,
80860,29daydeposit-newbonusoffers-mail-3,mails,30,
80861,29daydeposit-newbonusoffers-mail-4,mails,16,
80862,29daydeposit-newbonusoffers-mail-5,mails,,
80863,29daydeposit-newbonusoffers-mail-6,mails,,
80864,29daydeposit-newbonusoffers-mail-7,mails,,
80865,29daydeposit-newbonusoffers-mail-8,mails,,
80866,29daydeposit-newbonusoffers-mail-9,mails,,
80867,29daydeposit-newbonusoffers-mail-10,mails,,
80868,29daydeposit-newbonusoffers-mail-11,mails,,
80869,29daydeposit-newbonusoffers-mail-12,mails,,
80870,29daydeposit-newbonusoffers-mail-13,mails,2,
80871,29daydeposit-newbonusoffers-mail-14,mails,,18
80872,29daydeposit-newbonusoffers-mail-15,mails,,4
